released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
10,114,59,60,94,24,10,4,Major
1,113,73,72,32,77,15,5,Major
7,147,67,69,72,17,19,3,Major
4,100,70,92,59,3,10,3,Minor
2,155,49,42,77,3,12,9,Major
3,107,54,41,39,51,11,16,Minor
2,112,80,15,54,9,38,5,Major
31,166,70,57,57,9,11,7,Major
1,107,69,96,36,81,8,4,Minor
9,81,47,33,68,24,22,38,Major
9,150,79,77,46,5,11,7,Major
21,110,66,19,32,69,12,4,Major
21,108,64,4,40,6,10,6,Major
28,130,89,48,74,30,7,36,Minor
21,164,70,39,56,6,9,7,Major
6,114,80,42,68,2,66,4,Minor
20,93,63,93,88,1,12,4,Major
25,90,87,51,69,36,9,8,Minor
8,128,45,35,68,78,39,8,Major
6,97,83,47,80,2,24,9,Major
1,152,69,94,71,79,7,8,Minor
1,175,51,94,34,73,10,5,Major
9,116,61,48,55,67,16,8,Major
2,80,33,51,59,76,44,6,Minor
25,93,63,34,86,26,21,39,Minor
13,122,70,42,54,30,37,5,Major
7,122,70,91,79,3,7,10,Major
7,135,70,60,58,4,16,3,Minor
5,109,60,45,47,62,31,5,Major
7,93,65,82,74,27,32,5,Minor
20,125,85,64,81,2,7,9,Minor
19,206,58,83,45,36,11,8,Minor
24,130,76,44,77,1,13,3,Major
7,121,80,62,51,2,9,8,Minor
7,123,74,35,73,0,21,5,Minor
23,122,67,50,67,15,30,4,Minor
7,143,53,50,79,0,8,3,Major
6,121,70,35,77,1,26,4,Minor
14,166,56,68,66,28,11,18,Minor
7,135,41,27,64,36,60,3,Major
7,87,49,49,59,44,35,21,Minor
9,111,77,74,66,30,13,3,Major
7,110,75,85,84,10,31,19,Major
11,130,66,19,61,30,9,7,Major
18,179,61,76,51,30,38,15,Minor
26,93,74,53,73,61,13,4,Minor
7,78,27,10,49,62,49,5,Minor
19,180,65,37,58,2,4,31,Major
7,86,28,13,41,50,19,3,Minor
17,88,74,55,85,1,5,22,Minor
5,97,68,72,78,4,7,5,Major
8,134,71,59,80,13,36,5,Minor
21,116,75,36,76,12,10,10,Major
5,170,64,14,70,9,9,8,Minor
10,140,83,40,55,16,14,23,Minor
4,118,75,46,76,3,9,4,Minor
30,65,31,31,24,76,14,4,Major
22,120,56,16,67,0,11,4,Minor
21,176,29,12,33,68,12,5,Major
10,180,59,69,61,84,46,36,Minor
8,144,59,21,43,76,10,7,Major
30,133,82,52,61,38,14,27,Minor
12,93,63,21,52,28,9,3,Major
7,122,77,25,62,34,23,3,Major
19,88,53,55,73,9,3,5,Major
5,170,70,61,44,40,37,4,Minor
7,94,46,55,50,71,10,11,Minor
18,170,65,46,47,12,13,16,Major
27,90,79,79,70,57,66,8,Minor
1,78,40,7,29,62,9,3,Major
9,94,57,36,58,5,15,3,Major
30,73,83,11,41,0,36,14,Major
3,176,73,79,86,42,7,18,Major
2,128,81,57,63,40,10,4,Minor
30,120,58,44,60,44,5,6,Major
5,82,63,85,62,6,35,4,Major
13,95,77,40,47,2,9,3,Major
7,118,44,52,94,11,4,29,Major
22,123,75,93,86,8,14,3,Minor
19,90,63,49,68,38,42,18,Major
30,110,73,14,57,40,11,5,Minor
29,96,66,76,82,47,10,32,Minor
9,88,56,58,55,35,23,11,Minor
8,98,73,60,85,17,24,5,Minor
24,110,72,67,68,0,14,4,Minor
17,80,70,57,49,19,12,8,Major
16,110,86,31,53,43,11,6,Minor
21,110,79,70,36,0,6,11,Major
7,78,77,49,42,1,13,19,Minor
24,129,83,44,62,2,8,6,Major
1,181,44,22,60,61,42,9,Major
21,114,75,74,77,1,9,10,Minor
5,144,74,39,65,5,11,35,Major
11,101,66,18,68,9,12,4,Major
21,84,67,78,63,29,12,5,Major
8,154,66,63,69,21,11,7,Major
5,148,59,72,62,18,9,3,Major
3,146,85,22,37,13,7,30,Minor
1,120,77,51,79,20,26,6,Minor
1,110,53,75,69,7,17,3,Major
11,136,77,82,30,95,13,5,Minor
19,141,59,56,63,12,6,36,Major
7,108,46,23,48,75,14,4,Minor
19,94,42,47,36,76,9,5,Major
10,180,35,41,94,0,5,5,Major
1,122,77,51,79,5,16,5,Major
30,85,59,33,52,7,12,3,Major
7,148,68,29,73,0,7,7,Major
1,120,83,59,73,6,5,11,Major
24,91,70,76,72,22,27,4,Minor
19,120,72,54,71,26,10,4,Major
17,106,86,86,79,11,8,9,Major
7,110,63,31,35,93,29,3,Major
21,169,39,36,45,81,8,13,Major
