X,Y,mode,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
-53.95646319195837,-7.364428234298183,Minor,12,127,82,89,85,4,23,6
30.690365523022063,38.09545793051497,Major,24,90,51,42,61,53,9,3
-22.644491221953807,-10.264745110109388,Minor,22,128,75,79,63,33,15,4
-3.480196033841565,-31.456876092190274,Major,10,143,64,31,87,4,8,4
-27.784056664090027,-18.80565809443345,Major,15,139,74,68,68,3,26,4
-20.812543947994733,-50.31320580735625,Major,9,162,49,78,64,19,11,4
8.101787720865948,33.748729612723324,Major,11,92,81,39,60,31,7,3
-19.94848867530317,33.33822627254902,Major,19,95,87,57,55,10,29,7
-53.2338689428337,-30.5978079061727,Major,16,146,63,88,93,3,10,8
-23.386021263572463,32.442076799008845,Major,17,95,55,56,82,12,34,5
92.92121046656068,15.70970461038224,Minor,11,115,35,12,30,93,10,3
-18.26839550073569,-6.102824468052134,Major,21,128,78,59,65,10,26,5
-38.50658035135248,-9.19465915016923,Minor,15,130,82,69,83,3,27,5
-24.900196947448816,-9.269252002309647,Minor,2,127,80,74,77,36,11,4
24.343264919756525,-45.10252495683731,Major,1,150,42,20,86,21,9,9
-0.2237123285634328,1.9665776603567893,Minor,11,122,78,50,63,27,9,5
11.08065087162108,-38.428201278995616,Major,20,140,52,20,85,0,7,5
39.063380290419325,-14.217360677762052,Major,2,140,63,22,54,46,12,8
3.981551328120139,4.764947002190883,Minor,2,119,75,48,53,18,18,34
-51.86191159237589,12.636960497927056,Minor,22,110,76,96,72,32,9,4
25.47455643765232,40.931663969056046,Major,1,95,60,17,45,16,11,2
40.61761502762474,-7.357232805337464,Major,20,132,56,20,55,45,32,3
-40.51094489119773,-4.621023914861604,Minor,31,125,77,74,78,4,23,11
41.90165564216465,3.988613329842905,Minor,19,124,84,65,50,67,13,6
-12.060764713397816,-20.654739436085787,Minor,1,133,93,68,65,42,12,25
-44.71680900111851,12.462521057914,Major,1,112,92,67,66,0,36,9
-60.46560401716189,23.25271470209275,Major,13,97,79,92,89,5,6,5
16.21028898261711,37.17632421216144,Minor,24,90,59,52,48,38,10,11
-7.550735038209808,66.19304335222951,Minor,6,80,65,27,69,8,53,4
14.925091556679437,-61.8452916938904,Major,1,172,45,33,59,6,8,3
64.80435269460895,9.00686447967015,Major,10,120,60,24,35,73,31,3
-53.02938102785648,-24.42524183687406,Minor,27,140,74,96,80,18,5,5
-56.36800895473751,-8.699181164816771,Minor,30,128,81,90,77,1,9,5
13.121405955758911,3.3439756257785107,Major,26,122,78,70,81,57,10,5
-58.41551389231532,-19.999078020122017,Major,1,130,47,86,92,8,5,24
-6.600878917814986,-43.62161976992489,Major,2,160,69,61,71,33,31,20
-44.28101301072764,-27.179018579390195,Major,5,144,73,87,70,6,28,5
-24.37812886468548,-83.52191871986409,Major,4,192,50,85,52,11,28,6
-0.784558686171831,-50.58359257370681,Major,17,163,54,40,67,0,9,17
-11.991226052245432,-0.948846902058875,Minor,1,122,66,48,71,6,12,4
1.942796900180876,-38.093659418463616,Major,19,154,61,41,74,21,40,6
-0.0222472351145978,7.465866468775139,Minor,4,117,73,31,69,6,11,4
-49.6015117922141,-18.609786636003527,Minor,23,138,78,89,83,10,12,5
-32.98342470391412,30.800996690788203,Major,13,96,86,74,80,33,8,6
-8.573979700952798,27.386772275797483,Major,4,104,77,36,63,1,36,5
20.143581920008085,-53.7493618165756,Major,1,164,45,24,62,8,16,3
-46.10607625958941,2.6176885920787263,Major,20,118,68,61,82,2,50,3
-17.904580071111184,46.61381859245984,Minor,25,81,68,51,60,3,19,10
29.73875315022861,13.33610750445104,Major,6,117,82,73,45,54,7,3
104.03521467176952,-52.04911873958391,Major,2,174,45,10,37,97,64,4
-25.446905997466107,-7.36350382179682,Major,1,128,73,60,77,3,11,4
82.71233676772553,-16.258667433580932,Major,5,145,60,43,27,94,14,4
51.309288648812135,-25.375403916630088,Minor,25,150,65,51,55,73,14,3
13.005453309658431,55.26427202309596,Minor,2,90,60,13,53,4,21,4
